Gender,Match,Age,StudyField,Race,ImpRace,ImpRelig,From,Income,Goal,FreqDate,FreqGoOut,CareerField,Sports,Exercise,Dining,Art,Gaming,Clubbing,Reading,Tv,Movies,Concerts,Music,Shopping,Yoga,ExpectHappy,ExpectNum,DesireAttr,DesireSinc,DesireIntel,DesireFun,DesireAmb,DesireShar,YourAttr,YourSinc,YourIntel,YourFun,YourAmb
Female,0,21.0,Law,Asian,2.0,4.0,Chicago,"69,487.00",MeetNewPeople,AlmostNever,SeveralAWeek,,9.0,8.0,9.0,1.0,1.0,5.0,6.0,9.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0
Female,0,21.0,Law,Asian,2.0,4.0,Chicago,"69,487.00",MeetNewPeople,AlmostNever,SeveralAWeek,,9.0,8.0,9.0,1.0,1.0,5.0,6.0,9.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0
Female,1,21.0,Law,Asian,2.0,4.0,Chicago,"69,487.00",MeetNewPeople,AlmostNever,SeveralAWeek,,9.0,8.0,9.0,1.0,1.0,5.0,6.0,9.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0
Female,1,21.0,Law,Asian,2.0,4.0,Chicago,"69,487.00",MeetNewPeople,AlmostNever,SeveralAWeek,,9.0,8.0,9.0,1.0,1.0,5.0,6.0,9.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0
Female,1,21.0,Law,Asian,2.0,4.0,Chicago,"69,487.00",MeetNewPeople,AlmostNever,SeveralAWeek,,9.0,8.0,9.0,1.0,1.0,5.0,6.0,9.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0
Female,0,21.0,Law,Asian,2.0,4.0,Chicago,"69,487.00",MeetNewPeople,AlmostNever,SeveralAWeek,,9.0,8.0,9.0,1.0,1.0,5.0,6.0,9.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0
Female,0,21.0,Law,Asian,2.0,4.0,Chicago,"69,487.00",MeetNewPeople,AlmostNever,SeveralAWeek,,9.0,8.0,9.0,1.0,1.0,5.0,6.0,9.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0
Female,0,21.0,Law,Asian,2.0,4.0,Chicago,"69,487.00",MeetNewPeople,AlmostNever,SeveralAWeek,,9.0,8.0,9.0,1.0,1.0,5.0,6.0,9.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0
Female,1,21.0,Law,Asian,2.0,4.0,Chicago,"69,487.00",MeetNewPeople,AlmostNever,SeveralAWeek,,9.0,8.0,9.0,1.0,1.0,5.0,6.0,9.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0
Female,0,21.0,Law,Asian,2.0,4.0,Chicago,"69,487.00",MeetNewPeople,AlmostNever,SeveralAWeek,,9.0,8.0,9.0,1.0,1.0,5.0,6.0,9.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0
